City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Rikitea,-23.1203,-134.9692,78.22,72,11,14.05,PF,2021-02-05 23:26:20,light rain
1,Horsham,51.064,-0.3272,44.6,87,75,4.61,GB,2021-02-05 23:27:09,broken clouds
2,Longyearbyen,78.2186,15.6401,24.8,86,75,9.22,SJ,2021-02-05 23:25:13,light snow
3,Flinders,-34.5833,150.8552,70.0,91,100,8.99,AU,2021-02-05 23:25:13,light rain
4,Punta Arenas,-53.15,-70.9167,53.6,47,0,26.46,CL,2021-02-05 23:27:09,clear sky
5,Hilo,19.7297,-155.09,78.8,57,1,11.5,US,2021-02-05 23:13:13,light rain
6,Tecoanapa,16.5167,-98.75,81.63,65,24,7.81,MX,2021-02-05 23:27:10,few clouds
7,Qaanaaq,77.484,-69.3632,-6.68,76,100,8.37,GL,2021-02-05 23:22:53,overcast clouds
8,Aklavik,68.2191,-135.0107,-32.8,75,20,3.44,CA,2021-02-05 23:23:01,few clouds
9,Tuktoyaktuk,69.4541,-133.0374,-31.0,68,75,8.05,CA,2021-02-05 23:23:18,broken clouds
10,Mahebourg,-20.4081,57.7,77.0,83,75,3.44,MU,2021-02-05 23:23:22,light rain
11,Vaini,-21.2,-175.2,84.2,84,75,6.91,TO,2021-02-05 23:23:17,broken clouds
12,Esperance,-33.8667,121.9,60.8,94,90,8.05,AU,2021-02-05 23:24:11,overcast clouds
13,Mataura,-46.1927,168.8643,70.95,51,54,1.79,NZ,2021-02-05 23:27:11,broken clouds
14,Mar Del Plata,-38.0023,-57.5575,73.99,49,0,5.75,AR,2021-02-05 23:25:07,clear sky
15,Pisco,-13.7,-76.2167,71.6,83,0,17.27,PE,2021-02-05 23:23:31,clear sky
16,Emba,48.8264,58.1442,35.24,92,100,14.36,KZ,2021-02-05 23:27:11,overcast clouds
17,Banjar,-8.19,114.9675,78.8,89,40,4.61,ID,2021-02-05 23:27:11,light rain
18,Nadadores,27.05,-101.6,80.01,20,0,5.01,MX,2021-02-05 23:27:12,clear sky
19,Busselton,-33.65,115.3333,60.01,77,94,1.99,AU,2021-02-05 23:22:44,overcast clouds
20,Fort Saint James,54.4333,-124.25,27.36,96,100,1.45,CA,2021-02-05 23:27:12,overcast clouds
21,Hobart,-42.8794,147.3294,71.01,78,75,8.05,AU,2021-02-05 23:27:12,light rain
22,Vaitape,-16.5167,-151.75,81.55,63,1,3.58,PF,2021-02-05 23:27:12,clear sky
23,Bluff,-46.6,168.3333,58.91,74,66,3.42,NZ,2021-02-05 23:22:50,broken clouds
24,Tera,14.0078,0.7531,77.67,17,20,9.91,NE,2021-02-05 23:27:13,few clouds
25,Mahibadhoo,3.7833,72.9667,81.1,71,87,9.46,MV,2021-02-05 23:23:14,overcast clouds
26,Ndele,8.4109,20.6473,76.86,19,14,8.7,CF,2021-02-05 23:27:13,few clouds
27,Bulalacao,12.3254,121.3435,78.58,78,77,17.6,PH,2021-02-05 23:27:13,broken clouds
28,Marystown,47.1666,-55.1483,34.79,88,96,17.31,CA,2021-02-05 23:24:11,overcast clouds
29,Tasiilaq,65.6145,-37.6368,24.8,50,75,2.3,GL,2021-02-05 23:27:13,broken clouds
30,Burnie,-41.0667,145.9167,66.0,93,35,13.0,AU,2021-02-05 23:27:13,scattered clouds
31,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,5.75,EC,2021-02-05 23:23:14,scattered clouds
32,Anantapur,14.6833,77.6,64.35,69,8,3.67,IN,2021-02-05 23:23:55,clear sky
33,Georgetown,5.4112,100.3354,79.0,83,20,6.62,MY,2021-02-05 23:27:14,few clouds
34,Kavieng,-2.5744,150.7967,82.22,74,96,6.33,PG,2021-02-05 23:27:14,overcast clouds
35,Aksarka,66.5606,67.7975,-20.54,87,100,13.91,RU,2021-02-05 23:23:38,light snow
36,Qui Nhon,13.7667,109.2333,68.61,90,43,7.7,VN,2021-02-05 23:23:48,scattered clouds
37,Lazaro Cardenas,17.9583,-102.2,80.19,64,1,6.55,MX,2021-02-05 23:24:27,clear sky
38,Airai,-8.9266,125.4092,62.24,100,100,3.4,TL,2021-02-05 23:27:15,overcast clouds
39,Nikolskoye,59.7035,30.7861,12.0,78,75,11.18,RU,2021-02-05 23:22:59,light snow
40,Salalah,17.0151,54.0924,73.4,60,20,5.75,OM,2021-02-05 23:27:15,few clouds
41,Kahului,20.8947,-156.47,73.4,64,40,11.5,US,2021-02-05 23:27:15,scattered clouds
42,Sayyan,15.1718,44.3244,48.24,68,9,5.37,YE,2021-02-05 23:27:16,clear sky
43,Norman Wells,65.282,-126.8329,-27.4,68,75,2.3,CA,2021-02-05 23:21:11,broken clouds
44,Jamestown,42.097,-79.2353,25.0,63,90,14.97,US,2021-02-05 23:22:26,light snow
45,Najran,17.4924,44.1277,64.4,27,0,10.54,SA,2021-02-05 23:24:26,clear sky
46,Gorontalo,0.5412,123.0595,76.5,88,100,2.13,ID,2021-02-05 23:27:16,overcast clouds
47,Mpophomeni,-29.5682,30.1862,71.01,95,100,1.3,ZA,2021-02-05 23:27:16,overcast clouds
48,Luanda,-8.8368,13.2343,78.8,83,0,9.22,AO,2021-02-05 23:24:48,clear sky
49,Saint George,37.1041,-113.5841,61.0,23,1,24.16,US,2021-02-05 23:25:24,clear sky
50,Mount Isa,-20.7333,139.5,80.6,54,100,14.97,AU,2021-02-05 23:27:17,overcast clouds
51,Cancun,21.1743,-86.8466,80.6,69,40,13.8,MX,2021-02-05 23:26:29,scattered clouds
52,Nouakchott,18.0858,-15.9785,64.4,77,88,17.27,MR,2021-02-05 23:27:17,overcast clouds
53,Barrow,71.2906,-156.7887,-7.6,71,90,11.5,US,2021-02-05 23:27:17,mist
54,Bethel,41.3712,-73.414,36.0,91,100,5.79,US,2021-02-05 23:27:17,overcast clouds
55,Nhulunbuy,-12.2333,136.7667,78.8,89,90,10.36,AU,2021-02-05 23:27:17,light rain
56,Saskylakh,71.9167,114.0833,-29.67,84,90,5.7,RU,2021-02-05 23:22:57,overcast clouds
57,Zhongshu,24.5167,103.7667,50.11,91,98,3.11,CN,2021-02-05 23:27:18,overcast clouds
58,Kapaa,22.0752,-159.319,69.8,60,75,3.44,US,2021-02-05 23:23:03,light rain
59,Mount Gambier,-37.8333,140.7667,62.6,72,40,13.8,AU,2021-02-05 23:22:27,scattered clouds
60,Severo-Kurilsk,50.6789,156.125,14.2,84,51,5.37,RU,2021-02-05 23:23:26,broken clouds
61,Hermanus,-34.4187,19.2345,68.0,87,5,1.99,ZA,2021-02-05 23:23:17,clear sky
62,San Vicente,-26.6167,-54.1333,65.34,63,0,4.63,AR,2021-02-05 23:27:18,light rain
63,Vila Franca Do Campo,37.7167,-25.4333,55.99,94,75,3.44,PT,2021-02-05 23:27:19,broken clouds
64,Korla,41.7597,86.1469,25.77,82,0,2.24,CN,2021-02-05 23:27:19,clear sky
65,Lakes Entrance,-37.8811,147.981,75.0,53,1,14.0,AU,2021-02-05 23:27:19,clear sky
66,Banon,40.8382,-1.1909,51.8,93,75,18.41,ES,2021-02-05 23:27:19,broken clouds
67,Carnarvon,-24.8667,113.6333,80.6,78,90,23.02,AU,2021-02-05 23:22:00,overcast clouds
68,Baykit,61.67,96.37,-3.1,88,100,2.59,RU,2021-02-05 23:27:19,overcast clouds
69,Albany,42.6001,-73.9662,37.99,69,92,4.97,US,2021-02-05 23:23:07,overcast clouds
70,Kautokeino,69.0125,23.0412,16.03,93,69,11.63,NO,2021-02-05 23:27:20,broken clouds
71,Kruisfontein,-34.0033,24.7314,72.0,86,33,1.99,ZA,2021-02-05 23:27:20,scattered clouds
72,Provideniya,64.3833,-173.3,7.92,92,100,12.57,RU,2021-02-05 23:27:20,overcast clouds
73,Tulsipur,28.131,82.2973,48.16,65,0,5.64,NP,2021-02-05 23:27:20,clear sky
74,Ushuaia,-54.8,-68.3,46.4,76,75,25.32,AR,2021-02-05 23:22:43,broken clouds
75,Maniwaki,46.3834,-75.966,28.4,80,99,12.66,CA,2021-02-05 23:27:21,overcast clouds
76,Puerto Leguizamo,-0.1934,-74.7819,76.64,93,91,0.36,CO,2021-02-05 23:27:21,overcast clouds
77,Westport,41.1415,-73.3579,39.0,81,1,6.58,US,2021-02-05 23:27:21,clear sky
78,Bathsheba,13.2167,-59.5167,78.8,65,40,18.41,BB,2021-02-05 23:27:21,scattered clouds
79,Los Llanos De Aridane,28.6585,-17.9182,60.8,51,0,17.27,ES,2021-02-05 23:23:01,clear sky
80,Hamilton,39.1834,-84.5333,36.0,48,20,12.66,US,2021-02-05 23:22:51,few clouds
81,Zaranj,30.9667,61.8833,49.71,37,0,5.73,AF,2021-02-05 23:27:21,clear sky
82,Lata,40.1629,-8.3327,51.01,93,100,1.01,PT,2021-02-05 23:23:16,overcast clouds
83,Eureka,40.8021,-124.1637,57.99,81,0,10.0,US,2021-02-05 23:24:12,clear sky
84,Atuona,-9.8,-139.0333,79.38,82,4,18.05,PF,2021-02-05 23:23:05,light rain
85,Abu Samrah,35.3029,37.1841,48.97,86,0,4.72,SY,2021-02-05 23:27:22,clear sky
86,Oktyabrskoye,43.0645,44.7417,35.04,84,97,4.88,RU,2021-02-05 23:27:22,overcast clouds
87,Byron Bay,-28.65,153.6167,78.8,73,75,2.3,AU,2021-02-05 23:25:06,broken clouds
88,Aldan,58.6031,125.3894,-23.84,85,100,1.88,RU,2021-02-05 23:27:22,overcast clouds
89,Fortuna,40.5982,-124.1573,53.01,87,90,19.57,US,2021-02-05 23:25:06,overcast clouds
90,Ponta Delgada,37.7333,-25.6667,55.0,94,75,3.44,PT,2021-02-05 23:23:25,broken clouds
91,Portland,45.5234,-122.6762,53.6,71,75,6.91,US,2021-02-05 23:25:42,broken clouds
92,Bredasdorp,-34.5322,20.0403,60.8,94,9,2.3,ZA,2021-02-05 23:22:55,clear sky
