City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Corlu,TR,2021-02-04 14:51:56,41.1592,27.8,59.0,77,40,8.05
1,Klaksvik,FO,2021-02-04 14:50:07,62.2266,-6.589,35.6,64,40,23.02
2,Batagay-Alyta,RU,2021-02-04 14:51:57,67.8006,130.4114,-31.25,70,0,1.32
3,Ushuaia,AR,2021-02-04 14:49:41,-54.8,-68.3,57.2,77,75,35.68
4,Taga,RO,2021-02-04 14:51:57,46.95,24.05,55.4,54,40,25.32
5,Marsh Harbour,BS,2021-02-04 14:51:57,26.5412,-77.0636,64.29,49,43,4.36
6,Hermanus,ZA,2021-02-04 14:51:57,-34.4187,19.2345,75.0,66,39,5.01
7,Cololaca,HN,2021-02-04 14:51:58,14.3,-88.8833,59.0,82,20,6.91
8,Velikiy Ustyug,RU,2021-02-04 14:51:58,60.7644,46.3106,18.64,97,100,4.54
9,Shimoda,JP,2021-02-04 14:51:58,34.6667,138.95,36.0,60,0,1.01
10,Hobart,AU,2021-02-04 14:49:53,-42.8794,147.3294,66.2,63,100,6.91
11,Yellowknife,CA,2021-02-04 14:51:58,62.456,-114.3525,-24.0,68,75,10.36
12,Le Port,RE,2021-02-04 14:51:59,-20.9373,55.2919,82.4,65,75,13.8
13,Cape Town,ZA,2021-02-04 14:51:02,-33.9258,18.4232,75.2,60,0,25.32
14,Port Alfred,ZA,2021-02-04 14:50:15,-33.5906,26.891,73.0,79,81,1.01
15,San Vicente,AR,2021-02-04 14:51:59,-26.6167,-54.1333,76.06,60,81,5.7
16,Aranos,NA,2021-02-04 14:51:59,-24.1333,19.1167,93.15,17,0,16.08
17,Takoradi,GH,2021-02-04 14:51:59,4.8845,-1.7554,84.13,73,17,8.95
18,Nouadhibou,MR,2021-02-04 14:52:00,20.931,-17.0347,71.6,64,0,16.11
19,Bakchar,RU,2021-02-04 14:52:00,57.0186,82.0711,3.83,95,100,5.95
20,Mataura,NZ,2021-02-04 14:49:55,-46.1927,168.8643,41.94,89,44,3.47
21,Rikitea,PF,2021-02-04 14:52:00,-23.1203,-134.9692,77.97,69,99,11.74
22,Bredasdorp,ZA,2021-02-04 14:52:00,-34.5322,20.0403,75.2,50,82,10.36
23,Novikovo,RU,2021-02-04 14:52:01,51.1537,37.8879,36.36,97,100,8.68
24,Chokurdakh,RU,2021-02-04 14:50:48,70.6333,147.9167,-10.12,85,0,17.25
25,Barrow,US,2021-02-04 14:52:01,71.2906,-156.7887,-27.4,75,1,11.5
26,Mitu,CO,2021-02-04 14:52:02,1.1983,-70.1733,77.56,89,97,2.71
27,Brae,GB,2021-02-04 14:52:02,60.3964,-1.353,37.4,56,40,10.36
28,Awjilah,LY,2021-02-04 14:52:02,29.1081,21.2869,68.36,40,0,10.33
29,Sabang,ID,2021-02-04 14:52:02,5.8933,95.3214,81.3,77,2,21.32
30,Aviles,ES,2021-02-04 14:47:15,43.5547,-5.9248,57.0,76,40,4.61
31,Kazuno,JP,2021-02-04 14:52:03,40.1836,140.7872,15.4,92,100,15.77
32,Bluff,NZ,2021-02-04 14:52:03,-46.6,168.3333,47.61,82,57,11.01
